132.0 79.0 53.0 2.43396226415 -2.62264150943 -4.0 7.0 -7.0 0.0 0.0
133.0 118.0 81.0 -1.92592592593 2.0 -9.0 4.0 -3.0 8.0 1.0
136.0 11.0 11.0 0.0909090909091 9.0 -1.0 1.0 7.0 11.0 1.0
140.0 1.0 1.0 0.0 8.0 0.0 0.0 8.0 8.0 1.0
143.0 3.0 3.0 -2.0 6.0 -3.0 -1.0 6.0 6.0 1.0
144.0 31.0 25.0 0.52 5.88 -3.0 3.0 2.0 9.0 1.0
148.0 35.0 29.0 -2.72413793103 6.06896551724 -6.0 0.0 3.0 10.0 1.0
153.0 5.0 5.0 -3.2 4.4 -4.0 -2.0 4.0 5.0 1.0
160.0 2.0 2.0 1.5 -8.0 1.0 2.0 -8.0 -8.0 1.0
164.0 1.0 1.0 -8.0 -3.0 -8.0 -8.0 -3.0 -3.0 1.0
165.0 3.0 3.0 -8.66666666667 -3.66666666667 -9.0 -8.0 -4.0 -3.0 1.0
166.0 39.0 37.0 -5.91891891892 -2.16216216216 -10.0 -1.0 -6.0 3.0 1.0
168.0 10.0 10.0 -6.9 -3.2 -8.0 -6.0 -5.0 -2.0 1.0
172.0 39.0 33.0 -9.60606060606 -2.93939393939 -14.0 -6.0 -6.0 2.0 1.0
174.0 1.0 1.0 -10.0 -5.0 -10.0 -10.0 -5.0 -5.0 1.0
175.0 107.0 77.0 3.1038961039 2.92207792208 -1.0 9.0 -3.0 9.0 1.0
179.0 57.0 47.0 11.4680851064 3.44680851064 7.0 19.0 0.0 7.0 1.0
181.0 1.0 1.0 12.0 1.0 12.0 12.0 1.0 1.0 1.0
182.0 1.0 1.0 10.0 1.0 10.0 10.0 1.0 1.0 1.0
184.0 27.0 26.0 6.69230769231 -0.692307692308 4.0 10.0 -3.0 2.0 1.0
193.0 79.0 71.0 -7.05633802817 -5.56338028169 -15.0 0.0 -10.0 0.0 1.0
196.0 1.0 1.0 -9.0 1.0 -9.0 -9.0 1.0 1.0 1.0
200.0 360.0 199.0 -1.23115577889 1.25628140704 -9.0 6.0 -8.0 11.0 1.0
203.0 2.0 2.0 3.0 -6.5 3.0 3.0 -7.0 -6.0 1.0
204.0 2.0 2.0 3.5 -8.0 3.0 4.0 -8.0 -8.0 1.0
209.0 2.0 2.0 8.0 -0.5 8.0 8.0 -1.0 0.0 1.0
211.0 17.0 17.0 -13.8235294118 -6.58823529412 -17.0 -11.0 -8.0 -4.0 1.0
214.0 21.0 21.0 -4.0 -5.2380952381 -6.0 -2.0 -8.0 -3.0 1.0
215.0 9.0 9.0 -6.33333333333 -6.0 -8.0 -5.0 -7.0 -5.0 1.0
220.0 1.0 1.0 4.0 -6.0 4.0 4.0 -6.0 -6.0 1.0
221.0 2.0 2.0 4.5 -7.0 4.0 5.0 -7.0 -7.0 1.0
234.0 6.0 6.0 3.83333333333 -11.3333333333 3.0 5.0 -12.0 -10.0 0.0
234.0 90.0 68.0 3.30882352941 -6.26470588235 -2.0 9.0 -11.0 0.0 0.0
234.0 2.0 2.0 -10.5 -5.0 -11.0 -10.0 -5.0 -5.0 0.0
234.0 16.0 14.0 -7.35714285714 -4.71428571429 -9.0 -6.0 -6.0 -3.0 0.0
234.0 24.0 24.0 3.54166666667 1.375 0.0 7.0 -2.0 6.0 0.0
234.0 136.0 90.0 -8.42222222222 1.15555555556 -14.0 -2.0 -5.0 6.0 0.0
238.0 193.0 161.0 -3.62732919255 -2.26086956522 -11.0 4.0 -10.0 7.0 1.0
251.0 1.0 1.0 -4.0 -7.0 -4.0 -4.0 -7.0 -7.0 1.0
255.0 2.0 2.0 -1.5 -11.0 -2.0 -1.0 -11.0 -11.0 1.0
256.0 2.0 2.0 -3.0 -10.5 -3.0 -3.0 -11.0 -10.0 1.0
257.0 2.0 2.0 -3.0 -12.5 -3.0 -3.0 -13.0 -12.0 1.0
258.0 3.0 3.0 2.0 6.0 2.0 2.0 5.0 7.0 1.0
268.0 5.0 5.0 -12.0 2.0 -13.0 -11.0 1.0 3.0 0.0
268.0 15.0 14.0 -1.14285714286 4.64285714286 -3.0 1.0 3.0 6.0 0.0
268.0 9.0 9.0 -1.88888888889 -2.22222222222 -3.0 -1.0 -4.0 -1.0 0.0
268.0 24.0 23.0 -6.21739130435 -1.4347826087 -9.0 -4.0 -4.0 1.0 0.0
268.0 2.0 2.0 -7.0 2.5 -7.0 -7.0 2.0 3.0 0.0
268.0 1.0 1.0 4.0 -2.0 4.0 4.0 -2.0 -2.0 0.0
269.0 18.0 17.0 -9.11764705882 -1.11764705882 -12.0 -7.0 -3.0 1.0 0.0
269.0 11.0 11.0 2.72727272727 -5.09090909091 2.0 4.0 -7.0 -2.0 0.0
269.0 3.0 3.0 4.33333333333 1.33333333333 4.0 5.0 1.0 2.0 0.0
270.0 15.0 15.0 -10.6 3.8 -13.0 -9.0 2.0 5.0 1.0
272.0 1.0 1.0 -11.0 3.0 -11.0 -11.0 3.0 3.0 1.0
273.0 1.0 1.0 -12.0 3.0 -12.0 -12.0 3.0 3.0 0.0
273.0 11.0 11.0 -12.0 -4.36363636364 -14.0 -10.0 -6.0 -3.0 0.0
273.0 11.0 11.0 -5.90909090909 -0.636363636364 -7.0 -5.0 -3.0 2.0 0.0
273.0 1.0 1.0 1.0 -8.0 1.0 1.0 -8.0 -8.0 0.0
273.0 3.0 3.0 -1.0 3.0 -1.0 -1.0 2.0 4.0 0.0
273.0 148.0 106.0 -2.58490566038 -2.66037735849 -11.0 3.0 -8.0 6.0 0.0
274.0 2.0 2.0 -4.0 -7.5 -4.0 -4.0 -8.0 -7.0 0.0
274.0 4.0 4.0 -4.75 7.75 -6.0 -4.0 7.0 8.0 0.0
275.0 506.0 271.0 3.36531365314 -3.9741697417 -9.0 14.0 -15.0 5.0 0.0
275.0 51.0 45.0 -9.4 2.08888888889 -13.0 -5.0 -2.0 8.0 0.0
275.0 21.0 21.0 0.142857142857 2.14285714286 -1.0 2.0 -1.0 5.0 0.0
284.0 18.0 18.0 -9.77777777778 -3.88888888889 -13.0 -7.0 -6.0 -1.0 1.0
288.0 1.0 1.0 6.0 -6.0 6.0 6.0 -6.0 -6.0 1.0
291.0 4.0 4.0 9.5 -1.5 9.0 10.0 -2.0 -1.0 1.0
294.0 2.0 2.0 -2.5 -3.0 -3.0 -2.0 -3.0 -3.0 1.0
296.0 20.0 17.0 9.11764705882 -7.58823529412 7.0 11.0 -9.0 -6.0 0.0
296.0 48.0 48.0 1.95833333333 -9.66666666667 -2.0 6.0 -15.0 -4.0 0.0
296.0 116.0 91.0 -4.58241758242 -0.252747252747 -10.0 1.0 -7.0 6.0 0.0
296.0 44.0 37.0 -0.405405405405 -5.97297297297 -4.0 2.0 -10.0 -2.0 0.0
297.0 165.0 115.0 -8.37391304348 -0.304347826087 -14.0 0.0 -8.0 6.0 0.0
297.0 23.0 23.0 5.30434782609 -5.69565217391 1.0 9.0 -8.0 -3.0 0.0
297.0 1.0 1.0 -1.0 -10.0 -1.0 -1.0 -10.0 -10.0 0.0
297.0 1.0 1.0 -3.0 -12.0 -3.0 -3.0 -12.0 -12.0 0.0
297.0 4.0 4.0 3.0 -4.5 3.0 3.0 -6.0 -3.0 0.0
299.0 51.0 46.0 -7.65217391304 -7.67391304348 -12.0 -4.0 -12.0 -1.0 1.0
300.0 13.0 13.0 -9.15384615385 -6.23076923077 -11.0 -8.0 -8.0 -4.0 1.0
